webpage,package_title,description
https://CRAN.R-project.org/package=LDAShiny,LDAShiny: User-Friendly Interface for Review of Scientific Literature,"Contains the development of a tool that provides a
    web-based graphical user interface (GUI) to perform a review of the
    scientific literature under the Bayesian approach of Latent Dirichlet
    Allocation (LDA)and machine learning algorithms. The application
    methodology is framed by the well known procedures in topic modelling
    on how to clean and process data. Contains methods described by 
    Blei, David M., Andrew Y. Ng, and Michael I. Jordan (2003) 
    <,> 
    Allocation""; Thomas L. Griffiths and Mark Steyvers (2004) 
    <,> ; Xiong Hui, et al (2019) 
    <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=languageR,"languageR: Analyzing Linguistic Data: A Practical Introduction to
Statistics","Data sets exemplifying statistical methods, and some
        facilitatory utility functions used in “Analyzing Linguistic
        Data: A practical introduction to statistics using R”,
        Cambridge University Press, 2008.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=english,english: Translate Integers into English,"Allow numbers to be presented in an English language
        version, one, two, three, ...  Ordinals are also available,
        first, second, third, ... and indefinite article choice, ""a"" or ""an"".,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=lda,lda: Collapsed Gibbs Sampling Methods for Topic Models,"Implements latent Dirichlet allocation (LDA)
	     and related models.  This includes (but is not limited
	     to) sLDA, corrLDA, and the mixed-membership stochastic
	     blockmodel.  Inference for all of these models is
	     implemented via a fast collapsed Gibbs sampler written
	     in C.  Utility functions for reading/writing data
	     typically used in topic models, as well as tools for
	     examining posterior distributions are also included.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=janeaustenr,janeaustenr: Jane Austen's Complete Novels,"Full texts for Jane Austen's 6 completed novels, ready for text
    analysis. These novels are ""Sense and Sensibility"", ""Pride and Prejudice"",
    ""Mansfield Park"", ""Emma"", ""Northanger Abbey"", and ""Persuasion"".,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=corpora,corpora: Statistics and Data Sets for Corpus Frequency Data,"Utility functions for the statistical analysis of corpus frequency data.
        This package is a companion to the open-source course ""Statistical Inference: 
        A Gentle Introduction for Computational Linguists and Similar Creatures"" ('SIGIL').,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=corporaexplorer,corporaexplorer: A 'Shiny' App for Exploration of Text Collections,"Facilitates dynamic exploration of text collections through an
    intuitive graphical user interface and the power of regular expressions.
    The package contains 1) a helper function to convert a data frame to a
    'corporaexplorerobject', 2) a 'Shiny' app for fast and flexible exploration
    of a 'corporaexplorerobject', and 3) a 'Shiny' app for simple
    retrieval/extraction of documents from a 'corporaexplorerobject' in a
    reading-friendly format. The package also includes demo apps with which
    one can explore Jane Austen's novels and the State of the Union Addresses
    (data from the 'janeaustenr' and 'sotu' packages respectively).,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=keyATM,keyATM: Keyword Assisted Topic Model,"Fits keyword assisted topic models (keyATM) using collapsed Gibbs samplers. The keyATM combines the latent dirichlet allocation (LDA) models with a small number of keywords selected by researchers in order to improve the interpretability and topic classification of the LDA. The keyATM can also incorporate covariates and directly model time trends. The keyATM is proposed in Eshima, Imai, and Sasaki (2020) <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=koRpus.lang.en,koRpus.lang.en: Language Support for 'koRpus' Package: English,"Adds support for the English language to the 'koRpus' package. To ask for help, report bugs, suggest feature improvements, or discuss the global development of the
                    package, please consider subscribing to the koRpus-dev mailing list (<,>).,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=koRpus,"koRpus: Text Analysis with Emphasis on POS Tagging, Readability, and
Lexical Diversity","A set of tools to analyze texts. Includes, amongst others, functions for
          automatic language detection, hyphenation, several indices of lexical diversity
          (e.g., type token ratio, HD-D/vocd-D, MTLD) and readability (e.g., Flesch,
          SMOG, LIX, Dale-Chall). Basic import functions for language corpora are also
          provided, to enable frequency analyses (supports Celex and Leipzig Corpora
          Collection file formats) and measures like tf-idf. Note: For full functionality
          a local installation of TreeTagger is recommended. It is also recommended to
          not load this package directly, but by loading one of the available language
          support packages from the 'l10n' repository
          <,>. 'koRpus' also includes a plugin
          for the R GUI and IDE RKWard, providing graphical dialogs for its basic
          features. The respective R package 'rkward' cannot be installed directly from a
          repository, as it is a part of RKWard. To make full use of this feature, please
          install RKWard from <,> (plugins are detected
          automatically). Due to some restrictions on CRAN, the full package sources are
          only available from the project homepage. To ask for help, report bugs, request
          features, or discuss the development of the package, please subscribe to the
          koRpus-dev mailing list (<,>).,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=ldatuning,ldatuning: Tuning of the Latent Dirichlet Allocation Models Parameters,"For this first version only metrics to estimate the best fitting
    number of topics are implemented.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=lexicon,lexicon: Lexicons for Text Analysis,"A collection of lexical hash tables, dictionaries, and word lists.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=NLP,NLP: Natural Language Processing Infrastructure,"Basic classes and methods for Natural Language Processing.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=oolong,oolong: Create Validation Tests for Automated Content Analysis,"Intended to create standard human-in-the-loop validity tests for typical automated content analysis such as topic modeling and dictionary-based methods. This package offers a standard workflow with functions to prepare, administer and evaluate a human-in-the-loop validity test. This package provides functions for validating topic models using word intrusion, topic intrusion (Chang et al. 2009,  <,>) and word set intrusion (Ying et al. Forthcoming) tests. This package also provides functions for generating gold-standard data which are useful for validating dictionary-based methods. The default settings of all generated tests match those suggested in Chang et al. (2009) and Song et al. (2020) <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=openNLPdata,openNLPdata: Apache OpenNLP Jars and Basic English Language Models,"Apache OpenNLP jars and basic English language models.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=openNLP,openNLP: Apache OpenNLP Tools Interface,"An interface to the Apache OpenNLP tools (version 1.5.3).
  The Apache OpenNLP library is a machine learning based toolkit for the
  processing of natural language text written in Java.
  It supports the most common NLP tasks, such as tokenization, sentence
  segmentation, part-of-speech tagging, named entity extraction, chunking,
  parsing, and coreference resolution.
  See <,> for more information.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=qdap,"qdap: Bridging the Gap Between Qualitative Data and Quantitative
Analysis","Automates many of the tasks associated with quantitative discourse analysis of transcripts containing discourse
              including frequency counts of sentence types, words, sentences, turns of talk, syllables and other assorted
              analysis tasks. The package provides parsing tools for preparing transcript data. Many functions enable the user
              to aggregate data by any number of grouping variables, providing analysis and seamless integration with other R
              packages that undertake higher level analysis and visualization of text. This affords the user a more efficient
              and targeted analysis. 'qdap' is designed for transcript analysis, however, many functions are applicable to other
              areas of Text Mining/ Natural Language Processing.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=qdapDictionaries,qdapDictionaries: Dictionaries and Word Lists for the 'qdap' Package,"A collection of text analysis dictionaries and word lists for use with
        the 'qdap' package.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=qdapRegex,"qdapRegex: Regular Expression Removal, Extraction, and Replacement Tools","A collection of regular expression tools associated with
        the 'qdap' package that may be useful outside of the context of
        discourse analysis. Tools include
        removal/extraction/replacement of abbreviations, dates, dollar
        amounts, email addresses, hash tags, numbers, percentages,
        citations, person tags, phone numbers, times, and zip codes.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=qdapTools,qdapTools: Tools for the 'qdap' Package,"A collection of tools associated with the 'qdap' package that may be useful outside of the
            context of text analysis.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=quanteda,quanteda: Quantitative Analysis of Textual Data,"A fast, flexible, and comprehensive framework for 
    quantitative text analysis in R.  Provides functionality for corpus management,
    creating and manipulating tokens and ngrams, exploring keywords in context, 
    forming and manipulating sparse matrices
    of documents by features and feature co-occurrences, analyzing keywords, computing feature similarities and
    distances, applying content dictionaries, applying supervised and unsupervised machine learning, 
    visually representing text and text analyses, and more. ,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=sentimentr,sentimentr: Calculate Text Polarity Sentiment,"Calculate text polarity sentiment at the sentence level and
         optionally aggregate by rows or grouping variable(s).,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=SnowballC,SnowballC: Snowball Stemmers Based on the C 'libstemmer' UTF-8 Library,"An R interface to the C 'libstemmer' library that implements
  Porter's word stemming algorithm for collapsing words to a common
  root to aid comparison of vocabulary. Currently supported languages are
  Danish, Dutch, English, Finnish, French, German, Hungarian, Italian,
  Norwegian, Portuguese, Romanian, Russian, Spanish, Swedish
  and Turkish.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=spacyr,spacyr: Wrapper to the 'spaCy' 'NLP' Library,"An R wrapper to the 'Python' 'spaCy' 'NLP' library,
    from <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=stopwords,stopwords: Multilingual Stopword Lists,"Provides multiple sources of stopwords, for use in text analysis and natural language processing.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=stringdist,"stringdist: Approximate String Matching, Fuzzy Text Search, and String
Distance Functions","Implements an approximate string matching version of R's native
    'match' function. Also offers fuzzy text search based on various string
     distance measures. Can calculate various string distances based on edits
    (Damerau-Levenshtein, Hamming, Levenshtein, optimal sting alignment), qgrams (q-
    gram, cosine, jaccard distance) or heuristic metrics (Jaro, Jaro-Winkler). An
    implementation of soundex is provided as well. Distances can be computed between
    character vectors while taking proper care of encoding or between integer
    vectors representing generic sequences. This package is built for speed and
    runs in parallel by using 'openMP'. An API for C or C++ is exposed as well.
    Reference: MPJ van der Loo (2014) <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=stringi,stringi: Character String Processing Facilities,"A multitude of character string/text/natural language
    processing tools: pattern searching (e.g., with 'Java'-like regular
    expressions or the 'Unicode' collation algorithm), random string generation,
    case mapping, string transliteration, concatenation, sorting, padding,
    wrapping, Unicode normalisation, date-time formatting and parsing,
    and many more. They are fast, consistent, convenient, and -
    thanks to 'ICU' (International Components for Unicode) -
    portable across all locales and platforms.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=stringr,"stringr: Simple, Consistent Wrappers for Common String Operations","A consistent, simple and easy to use set of
    wrappers around the fantastic 'stringi' package. All function and
    argument names (and positions) are consistent, all functions deal with
    ""NA""'s and zero length vectors in the same way, and the output from
    one function is easy to feed into the input of another.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=sylly,sylly: Hyphenation and Syllable Counting for Text Analysis,"Provides the hyphenation algorithm used for 'TeX'/'LaTeX' and similar software, as proposed by Liang (1983, <,>). Mainly contains the
                    function hyphen() to be used for hyphenation/syllable counting of text objects. It was originally developed for and part of the 'koRpus' package, but later
                    released as a separate package so it's lighter to have this particular functionality available for other packages. Support for various languages needs be added
                    on-the-fly or by plugin packages (<,>); this package does not include any language specific data. Due to some restrictions
                    on CRAN, the full package sources are only available from the project homepage. To ask for help, report bugs, request features, or discuss the development of
                    the package, please subscribe to the koRpus-dev mailing list (<,>).,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=sylly.en,sylly.en: Language Support for 'sylly' Package: English,"Adds support for the English language to the 'sylly'
        package. Due to some restrictions on CRAN, the full package
        sources are only available from the project homepage. To ask
        for help, report bugs, suggest feature improvements, or discuss
        the global development of the package, please consider
        subscribing to the koRpus-dev mailing list
        (<,>).,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=syuzhet,syuzhet: Extracts Sentiment and Sentiment-Derived Plot Arcs from Text,"Extracts sentiment and sentiment-derived plot arcs
    from text using a variety of sentiment dictionaries conveniently
    packaged for consumption by R users.  Implemented dictionaries include
    ""syuzhet"" (default) developed in the Nebraska Literary Lab
    ""afinn"" developed by Finn Årup Nielsen, ""bing"" developed by Minqing Hu
    and Bing Liu, and ""nrc"" developed by Mohammad, Saif M. and Turney, Peter D.
    Applicable references are available in README.md and in the documentation
    for the ""get_sentiment"" function.  The package also provides a hack for
    implementing Stanford's coreNLP sentiment parser. The package provides
    several methods for plot arc normalization.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=tau,tau: Text Analysis Utilities,"Utilities for text analysis.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=text2vec,text2vec: Modern Text Mining Framework for R,"Fast and memory-friendly tools for text vectorization, topic
    modeling (LDA, LSA), word embeddings (GloVe), similarities. This package
    provides a source-agnostic streaming API, which allows researchers to perform
    analysis of collections of documents which are larger than available RAM. All
    core functions are parallelized to benefit from multicore machines.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textcat,textcat: N-Gram Based Text Categorization,"Text categorization based on n-grams.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textclean,textclean: Text Cleaning Tools,"Tools to clean and process text.  Tools are geared at checking for substrings that
          are not optimal for analysis and replacing or removing them (normalizing) with more
          analysis friendly substrings (see Sproat, Black, Chen, Kumar, Ostendorf, & Richards
          (2001) <,>) or extracting them into new variables. For
          example, emoticons are often used in text but not always easily handled by analysis
          algorithms.  The replace_emoticon() function replaces emoticons with word
          equivalents.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textdata,textdata: Download and Load Various Text Datasets,"Provides a framework to download, parse, and store text datasets
    on the disk and load them when needed. Includes various sentiment lexicons
    and labeled text data sets for classification and analysis.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textir,textir: Inverse Regression for Text Analysis,"Multinomial (inverse) regression inference for text documents and associated attributes.  For details see: Taddy (2013 JASA) Multinomial Inverse Regression for Text Analysis <,> and Taddy (2015, AoAS), Distributed Multinomial Regression, <,>. A minimalist partial least squares routine is also included.  Note that the topic modeling capability of earlier 'textir' is now a separate package, 'maptpx'.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textplot,textplot: Text Plots,"Visualise complex relations in texts. This is done by providing functionalities for displaying 
    text co-occurrence networks, text correlation networks, dependency relationships as well as text clustering. 
    Feel free to join the effort of providing interesting text visualisations.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textplot,textplot: Text Plots,"Visualise complex relations in texts. This is done by providing functionalities for displaying 
    text co-occurrence networks, text correlation networks, dependency relationships as well as text clustering. 
    Feel free to join the effort of providing interesting text visualisations.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textrank,textrank: Summarize Text by Ranking Sentences and Finding Keywords,"The 'textrank' algorithm is an extension of the 'Pagerank' algorithm for text. The algorithm allows to summarize text by calculating how sentences are related to one another. This is done by looking at overlapping terminology used in sentences in order to set up links between sentences. The resulting sentence network is next plugged into the 'Pagerank' algorithm which identifies the most important sentences in your text and ranks them. 
    In a similar way 'textrank' can also be used to extract keywords. A word network is constructed by looking if words are following one another. On top of that network the 'Pagerank' algorithm is applied to extract relevant words after which relevant words which are following one another are combined to get keywords.  
    More information can be found in the paper from Mihalcea, Rada & Tarau, Paul (2004) <,>.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textshape,textshape: Tools for Reshaping Text,"Tools that can be used to reshape and restructure text data.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=textstem,textstem: Tools for Stemming and Lemmatizing Text,"Tools that stem and lemmatize text.  Stemming is a process that removes
         endings such as affixes.  Lemmatization is the process of grouping inflected
         forms together as a single base form.,Please use the canonical form
,
to link to this page."
https://CRAN.R-project.org/package=tidyselect,tidyselect: Select from a Set of Strings,"A backend for the selecting functions of the 'tidyverse'.
    It makes it easy to implement select-like functions in your own
    packages in a way that is consistent with other 'tidyverse'
    interfaces for selection.,Please use the canonical form
,
to link to this page."
